View shopping bag,Voir panier
1 items in the shopping bag,1 articles dans le panier
0 items in the shopping bag,0 articles dans le panier
%s items in the shopping bag,%s articles dans le panier
"Unfortunately, your shopping bag is empty.","Malheureusement, votre panier est vide."
CLICK TO SHOP,Cliquez ici pour magasiner
featured Products,Produits Phares
new Products,nouveaux produits
Brands,marques
Latest Blog,Dernières Blog
Read More,En savoir plus
Bestsellers,Meilleures ventes
Best Sellers,meilleures ventes
Quick View,vue rapide
Go to Cart,Aller au panier
NEW,NOUVEAU
SALE,VENTE
Upsell Products,produits de vente incitative
Crosssell Products,produits de ventes croisées
Custom Tab1,Onglet Personnalisé 1
Custom Tab2,Onglet Personnalisé 2
Brand Logo :,Logo Marque:
Product code :,Code de produit:
random Products,Produits au hasard
rated Products,Produits notés
Enter your email address,Entrez votre adresse e-mail
Newsletter,bulletin
Item is deleted from your shopping cart.,Élément est supprimé de votre panier.
%s is updated in your shopping cart.,% s est mis à jour dans votre panier.
Top Rated,Les meilleurs
Add Review,Ajouter un commentaire
Showing %s-%s of %s products,Affichage% s-% s de% de produits
Showing %s products,Affichage% de produits
Navigation,navigation
